City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,virginia beach,75,US,1562271978,70,36.85,-75.98,97.0,12.75
88,lagoa,0,PT,1562272247,82,37.14,-8.45,68.0,13.87
89,hilo,90,US,1562272248,74,19.71,-155.08,82.99,5.82
90,dingle,72,PH,1562272248,85,11.0,122.67,74.64,2.89
91,arraial do cabo,40,BR,1562272248,88,-22.97,-42.02,71.6,6.93
92,qaanaaq,100,GL,1562272248,64,77.48,-69.36,42.44,3.51
93,port lincoln,0,AU,1562272249,72,-34.72,135.86,56.6,19.37
94,brigantine,1,US,1562272249,58,39.41,-74.36,90.0,13.87
95,balakirevo,0,RU,1562272250,78,56.51,38.84,46.2,9.08
96,alta,75,NO,1562272026,81,69.97,23.27,50.0,11.41
97,edenderry,75,IE,1562272250,63,53.34,-7.05,63.0,9.17
98,maniitsoq,99,GL,1562272250,79,65.42,-52.9,42.94,9.22
99,kerema,100,PG,1562272250,87,-7.96,145.78,76.49,10.4
100,esperantina,12,BR,1562272251,66,-3.89,-42.23,80.42,0.98
101,neuquen,40,AR,1562272251,66,-38.95,-68.06,48.2,3.36
102,okhotsk,100,RU,1562272251,94,59.36,143.24,48.25,12.53
103,yelizovo,90,RU,1562272252,100,53.19,158.38,48.2,4.47
104,kahului,40,US,1562271970,48,20.89,-156.47,87.8,11.41
105,praia da vitoria,75,PT,1562272207,83,38.73,-27.07,71.01,7.34
106,gonaives,20,HT,1562272252,66,19.45,-72.68,86.0,13.87
107,afsin,0,TR,1562272252,79,38.25,36.91,55.63,3.91
108,berlevag,75,NO,1562272253,81,70.86,29.09,48.2,5.82
109,barentu,100,ER,1562272253,63,15.11,37.59,79.07,5.66
110,ostrovnoy,100,RU,1562271989,96,68.05,39.51,49.17,10.49
111,ranfurly,91,CA,1562272253,59,53.41,-111.68,63.82,5.59
112,tasiilaq,3,GL,1562272253,61,65.61,-37.64,50.0,5.82
113,khatanga,84,RU,1562272254,79,71.98,102.47,46.72,7.96
114,saint-denis,0,FR,1562272254,43,48.94,2.36,73.4,5.82
115,port elizabeth,1,US,1562272254,58,39.31,-74.98,91.0,8.05
116,blytheville,40,US,1562272007,52,35.93,-89.92,91.99,11.41
117,tacuarembo,38,UY,1562272166,75,-31.73,-55.98,43.61,9.84
118,sola,66,TZ,1562272255,41,-3.17,33.8,73.07,4.56
119,teahupoo,75,PF,1562272255,53,-17.83,-149.27,77.0,12.75
120,ponta do sol,100,BR,1562272255,67,-20.63,-46.0,65.76,5.35
121,east london,0,ZA,1562272256,77,-33.02,27.91,51.17,3.47
122,axim,100,GH,1562272256,88,4.87,-2.24,76.98,9.95
123,zyryanka,100,RU,1562272256,94,65.73,150.89,49.73,1.7
124,tautira,75,PF,1562272256,53,-17.73,-149.15,77.0,12.75
125,puerto leguizamo,8,CO,1562272257,68,-0.19,-74.78,84.81,2.53
126,upernavik,0,GL,1562272257,70,72.79,-56.15,43.52,10.27
127,puerto ayora,20,EC,1562272258,61,-0.74,-90.35,78.8,19.46
128,norfolk,1,US,1562272158,52,36.85,-76.29,97.0,8.05
129,owando,81,CG,1562272258,90,-0.49,15.91,74.69,2.51
130,la palma,19,CO,1562272258,50,5.36,-74.39,87.44,2.62
131,broken hill,0,AU,1562272259,81,-31.97,141.45,48.2,11.41
132,alofi,75,NU,1562272018,78,-19.06,-169.92,75.2,14.99
133,saint-francois,0,FR,1562272259,71,46.42,3.91,69.01,4.76
134,pitsunda,90,GE,1562272259,78,43.16,40.34,77.0,4.47
135,chokurdakh,84,RU,1562272260,70,70.62,147.9,49.71,7.87
136,rawson,0,AR,1562272260,51,-43.3,-65.11,34.35,7.85
137,tuatapere,73,NZ,1562272260,95,-46.13,167.69,41.0,1.01
138,carnarvon,64,ZA,1562272260,33,-30.97,22.13,47.03,10.13
139,hualmay,17,PE,1562272260,84,-11.1,-77.61,62.52,12.88
140,korem,100,ET,1562272261,60,12.51,39.52,63.5,4.07
141,fuerte olimpo,100,BR,1562272261,95,-21.04,-57.87,55.52,7.29
142,beisfjord,75,NO,1562272261,87,68.38,17.6,50.0,9.17
143,atasu,58,KZ,1562272262,67,48.68,71.64,66.23,5.5
144,westerland,90,NL,1562272262,72,52.89,4.93,64.99,8.05
